Release Year,Origin/Ethnicity,Director,Cast
1922,American,Robert J. Flaherty,"Allakariallak, Nyla Cunayou"
1922,American,Frank Lloyd,Jackie Coogan
1922,American,"Edward F. Cline, Buster Keaton",Buster Keaton
1922,American,Charlie Chaplin,"Charlie Chaplin, Phyllis Allen, Mack Swain"
1922,American,Robert Z. Leonard,"Mae Murray, Monte Blue, Edmund Lowe"
1922,American,King Vidor,"Laurette Taylor, Mahlon Hamilton"
1922,American,Rex Ingram,Lewis Stone
1922,American,Nat Ross,Hoot Gibson
1922,American,Allan Dwan,Douglas Fairbanks
1922,American,Cecil B. DeMille,"Leatrice Joy, Conrad Nagel"
1922,American,Tom Forman,"Lon Chaney, Marguerite De La Motte"
1922,American,John S. Robertson,Mary Pickford
1922,American,Chester M. Franklin,"Anna May Wong, Kenneth Harlan"
1922,American,Rex Ingram,"Barbara La Marr, Ramon Novarro"
1922,American,William A. Seiter,"Doris May, Hallam Cooley"
1922,American,Robert G. Vignola,"Marion Davies, Forrest Stanley"
1922,American,Ivan Abramson,"Virginia Pearson, Harry T. Morey"
1922,American,Fred Niblo,"Anita Stewart, Darrell Foss"
1922,American,Phil Rosen,"Rudolph Valentino, Fanny Midgley"
1923,American,Fred Niblo,"Matt Moore, Enid Bennett"
1923,American,Frank Lloyd,"Norma Talmadge, Conway Tearle, Wallace Beery"
1923,American,Buster Keaton,Buster Keaton
1923,American,Frank Lloyd,"Corinne Griffith, Conway Tearle"
1923,American,Victor Fleming,"Richard Dix, Lois Wilson"
1923,American,William Beaudine,"Wesley Barry, Spec O'Donnell, Bruce Guerin"
1923,American,Kenneth Webb,"Mildred Harris, Charles Emmett Mack and Clara Bow"
1923,American,F. Richard Jones,Mabel Normand
1923,American,Rowland V. Lee,"Bessie Love, Harold Goodwin"
1923,American,Wallace Worsley,"Lon Chaney, Patsy Ruth Miller, Norman Kerry"
1923,American,Erich von Stroheim,"Norman Kerry, Mary Philbin"
1923,American,"John G. Blystone, Buster Keaton",Buster Keaton
1923,American,Charles Chaplin,"Charles Chaplin, Edna Purviance"
1923,American,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd
1923,American,Rex Ingram,"Ramón Novarro, Alice Terry, Lewis Stone"
1923,American,Lambert Hillyer,"Lon Chaney, Virginia Valli"
1923,American,F. Richard Jones,Ben Turpin
1923,American,J. Gordon Edwards,"Edmund Lowe, Béla Lugosi"
1923,American,Wesley Ruggles,"Colleen Moore, Wheeler Oakman, Sam De Grasse"
1923,American,Rupert Hughes,"Richard Dix, Eleanor Boardman"
1923,American,Cecil B. DeMille,Theodore Roberts
1923,American,Buster Keaton,Buster Keaton
1923,American,Henry King,"Lillian Gish, Ronald Colman"
1923,American,"Fred Newmeyer, Sam Taylor",Harold Lloyd
1923,American,Charles Chaplin,Edna Purviance
1924,American,Wesley Ruggles,"Beverly Bayne, Edith Roberts"
1924,American,D. W. Griffith,"Carol Dempster, Neil Hamilton"
1924,American,Rex Ingram,"Ramon Novarro, Alice Terry"
1924,American,Harry Beaumont,"John Barrymore, Mary Astor"
1924,American,Edward F. Cline,"Baby Peggy, Hobart Bosworth, Irene Rich"
1924,American,Robert Z. Leonard,"Mae Murray, James Kirkwood, Sr., Tom Rickets"
1924,American,Henry Otto,"Ralph Lewis, Winifred Landis"
1924,American,John S. Robertson,"Richard Barthelmess, May McAvoy"
1924,American,William A. Seiter,"Baby Peggy, Gladys Hulette"
1924,American,Cecil B. DeMille,"Vera Reynolds, Rod La Rocque"
1924,American,"Fred Newmeyer, Sam Taylor","Harold Lloyd, Jobyna Ralston"
1924,American,Erich von Stroheim,"ZaSu Pitts, Gibson Gowland"
1924,American,Victor Sjöström,"Lon Chaney, Norma Shearer, John Gilbert"
1924,American,William A. Seiter,"Baby Peggy, Edward Everett Horton, Clara Bow"
1924,American,Sidney Franklin,"Constance Talmadge, Ronald Colman, Jean Hersholt"
1924,American,King Vidor,"Aileen Pringle, John Gilbert"
1924,American,Fred C. Newmeyer,"Harold Lloyd, Jobyna Ralston"
1924,American,John Ford,"George O'Brien, Madge Bellamy"
1924,American,D. W. Griffith,"Carol Dempster, Neil Hamilton"
1924,American,"Walter Futter, E. Mason Hopper","Marion Davies, Holbrook Blinn, Tyrone Power, Sr."
1924,American,William A. Seiter,"Louise Fazenda, Harry Myers"
1924,American,Edward F. Cline,Jackie Coogan
1924,American,Allan Dwan,"Gloria Swanson, Tom Moore"
1924,American,Sidney Olcott,"Rudolph Valentino, Bebe Daniels, Lois Wilson, Doris Kenyon"
1924,American,"Donald Crisp, Buster Keaton,","Buster Keaton, Kathryn McGuire"
1924,American,Clarence G. Badger,"Laurette Taylor, Tom Moore"
1924,American,"Herbert Brenon, Glen Castle","Betty Bronson, Ernest Torrence, Virginia Browne Faire"
1924,American,Fred Niblo,"Ramon Novarro, Enid Bennett"
1924,American,Henry King,"Lillian Gish, Dorothy Gish, William Powell"
1924,American,Frank Lloyd,Milton Sills
1924,American,Frank Borzage,"Norma Talmadge, Eugene O'Brien"
1924,American,Buster Keaton,"Buster Keaton, Kathryn McGuire"
1924,American,Clarence G. Badger,"Barbara La Marr, Lew Cody, Mae Busch"
1924,American,Raoul Walsh,"Douglas Fairbanks, Snitz Edwards, Charles Belcher, Julanne Johnston, Anna May Wong"
1924,American,Alan Crosland,"Conrad Nagel, Aileen Pringle"
1924,American,King Vidor,"Virginia Valli, Frank Mayo"
1924,American,King Vidor,Eleanor Boardman
1924,American,James W. Horne,"Douglas MacLean, Patsy Ruth Miller"
1925,American,Victor Fleming,"Tom Moore, Pauline Starke"
1925,American,Fred Niblo,"Ramón Novarro, Francis X. Bushman, May McAvoy, Betty Bronson"
1925,American,King Vidor,"John Gilbert, Renée Adorée"
1925,American,Robert Z. Leonard,"Conrad Nagel, Lewis Stone, Marguerite De La Motte"
1925,American,Frank Borzage,"Eleanor Boardman, Malcolm McGregor"
1925,American,Joseph Henabery,"Rudolph Valentino, Nita Naldi"
1925,American,Victor Sjostrom,"Alice Terry, Lewis Stone"
1925,American,William A. Seiter,"Laura La Plante, Eugene O'Brien"
1925,American,George Fitzmaurice,"Ronald Colman, Vilma Bánky"
1925,American,Donald Crisp,Douglas Fairbanks
1925,American,Clarence Brown,Rudolph Valentino
1925,American,Henri Diamant-Berger,"Hope Hampton, Lionel Barrymore, Louise Glaum"
1925,American,"Fred C. Newmeyer, Sam Taylor",Harold Lloyd
1925,American,Buster Keaton,Buster Keaton
1925,American,Charlie Chaplin,Charlie Chaplin
1925,American,Roy Del Ruth,"Monte Blue, Patsy Ruth Miller"
1925,American,John Ford,"Henry B. Walthall, Gertrude Astor"
1925,American,Monta Bell,"Bessie Love, Adolphe Menjou"
1925,American,Herbert Brenon,"Betty Bronson, Tom Moore"
1925,American,Frank Borzage,"Norma Talmadge, Wallace MacDonald"
1925,American,Ernst Lubitsch,"Ronald Colman, May McAvoy"
1925,American,William Beaudine,"Mary Pickford, William Haines"
1925,American,Harry Hoyt,"Bessie Love, Wallace Beery."
1925,American,Frank Tuttle,"Richard Dix, Esther Ralston"
1925,American,John G. Blystone,"Tom Mix, Billie Dove"
1925,American,William A. Seiter,"May McAvoy, Jack Mulhall"
1925,American,Alfred E. Green,"Thomas Meighan, Virginia Valli, Frank Morgan"
1925,American,Erich von Stroheim,Mae Murray
1925,American,Wilfred Noy,Lila Lee
1925,American,Tod Browning,"Aileen Pringle, Conway Tearle"
1925,American,Edward F. Cline,"Jackie Coogan, Joan Crawford"
1925,American,Rupert Julian,"Lon Chaney, Mary Philbin, Norman Kerry"
1925,American,Wesley Ruggles,"Clara Bow, Gilbert Roland"
1925,American,Monta Bell,"ZaSu Pitts, Conrad Nagel"
1925,American,King Vidor,"Eleanor Boardman, Pat O'Malley"
1925,American,Edward F. Cline,"Jackie Coogan, Max Davidson"
1925,American,Edmund Goulding,"Constance Bennett, Joan Crawford"
1925,American,D. W. Griffith,"Carol Dempster, W. C. Fields"
1925,American,Josef von Sternberg,"Georgia Hale, George K. Arthur"
1925,American,Buster Keaton,Buster Keaton
1925,American,Lewis Milestone,"Marie Prevost, Clive Brook"
1925,American,Clarence Brown,"Laura La Plante, Malcolm McGregor"
1925,American,Allan Dwan,"Gloria Swanson, Lawrence Gray"
1925,American,William A. Seiter,"Laura La Plante, Pat O'Malley, Hedda Hopper. Walter McGrail"
1925,American,Robert Z. Leonard,"Mae Busch, Lew Cody"
1925,American,Paul Sloane,"Richard Dix, Frances Howard"
1925,American,Victor Sjostrom,"Norma Shearer, Lon Chaney"
1925,American,W.S. Van Dyke,"Buck Jones, Nancy Deaver"
1925,American,"William S. Hart, King Baggot",William S. Hart
1925,American,Tod Browning,"Lon Chaney, Mae Busch"
1925,American,Larry Semon,Dorothy Dwan
1925,American,"George Chesebro, Bruce Mitchell","George Chesebro, Marguerite Clayton"
1926,American,Roy Del Ruth,"Monte Blue, Jane Winton, Myrna Loy"
1926,American,King Vidor,"John Gilbert, Eleanor Boardman"
1926,American,Roland West,"Tullio Carminati, Charles Herzinger, Jewel Carmen, Louise Fazenda"
1926,American,Buster Keaton,"Buster Keaton, Sally O'Neil"
1926,American,Herbert Brenon,"Ronald Colman, Neil Hamilton"
1926,American,James Young,"Lionel Barrymore, Caroline Frances Cooke"
1926,American,Charles Reisner,"Sydney Chaplin, Doris Hill"
1926,American,Sidney Franklin,"Marion Davies, Antonio Moreno"
1926,American,Albert Parker,"Douglas Fairbanks, Billie Dove"
1926,American,Tod Browning,"Lon Chaney, Owen Moore"
1926,American,King Vidor,"Lillian Gish, John Gilbert, Renée Adorée"
1926,American,Monta Bell,"Marceline Day, John Harron"
1926,American,Lloyd Bacon,"Patsy Ruth Miller, Louise Dresser, Douglas Fairbanks, Jr."
1926,American,Jack Conway,"William Haines, Jack Pickford, Mary Brian"
1926,American,James W. Horne,"Rod La Rocque, Mildred Harris, Snitz Edwards"
1926,American,Robert Z. Leonard,"Conrad Nagel, Claire Windsor, Hedda Hopper"
1926,American,Alan Crosland,"John Barrymore, Mary Astor, Warner Oland, Estelle Taylor"
1926,American,Alfred E. Green,"Colleen Moore, Lloyd Hughes"
1926,American,Joseph von Sternberg Phil Rosen,"Conrad Nagel, Renee Adoree"
1926,American,Richard Rosson,"Gloria Swanson, Eugene O'Brien"
1926,American,Clarence Brown,"John Gilbert, Greta Garbo"
1926,American,Sam Taylor,"Harold Lloyd, Jobyna Ralston"
1926,American,John M. Stahl,"Lew Cody, Marceline Day"
1926,American,"Clyde Bruckman, Buster Keaton","Buster Keaton, Marion Mack"
1926,American,Herbert Brenon,"Warner Baxter, Neil Hamilton"
1926,American,Lewis Seiler,"Tom Mix, Dorothy Dwan"
1926,American,Clarence Badger,Raymond Griffith
1926,American,Edwin Carewe,"Mary Astor, Lloyd Hughes, Dolores del Río"
1926,American,Allan Dwan,"Olive Borden, Neil Hamilton, Marie Dressler"
1926,American,Frank Tuttle,"Eddie Cantor, Clara Bow, Billie Dove"
1926,American,Clarence Brown,"Norma Talmadge, Ronald Colman"
1926,American,Herbert Brenon,"Betty Bronson, Esther Ralston, Dorothy Cumming"
1926,American,Robert North Bradbury,"Jack Hoxie, Marceline Day"
1926,American,Rex Ingram,"Alice Terry, Paul Wegener"
1926,American,Victor Fleming,"Clara Bow, Percy Marmont, Ernest Torrence"
1926,American,Rex Ingram,"Antonio Moreno, Alice Terry"
1926,American,Clarence G. Badger,"Bebe Daniels, Warner Baxter, Ford Sterling"
1926,American,Lewis Milestone,"Thomas Meighan, Lila Lee"
1926,American,James Cruze,"Charles Farrell, Esther Ralston"
1926,American,Lloyd Bacon,"Patsy Ruth Miller, George Jessel"
1926,American,Millard Webb,"John Barrymore, Dolores Costello, George O'Hara"
1926,American,Ernst Lubitsch,"Monte Blue, Patsy Ruth Miller"
1926,American,Gregory La Cava,"W. C. Fields, Alice Joyce"
1926,American,D. W. Griffith,"Adolphe Menjou, Ricardo Cortez, Carol Dempster, Lya De Putti"
1926,American,William Beaudine,"Mary Pickford, Roy Stewart, Gustav von Seyffertitz"
1926,American,Frank Capra,"Harry Langdon, Priscilla Bonner, Gertrude Astor"
1926,American,"Fred Niblo, Mauritz Stiller","Greta Garbo, Antonio Moreno"
1926,American,Monta Bell,"Greta Garbo, Ricardo Cortez"
1926,American,"Harry Edwards, Frank Capra","Harry Langdon, Joan Crawford"
1926,American,Raoul Walsh,"Edmund Lowe, Victor McLaglen, Dolores del Río"
1926,American,Henry King,"Ronald Colman, Vilma Bánky, Gary Cooper"
1926,American,Josef von Sternberg,"Edna Purviance, Raymond Bloomer"
1927,American,Robert Z. Leonard,"Lew Cody, Aileen Pringle"
1927,American,Paul Leni,"Laura La Plante, Forrest Stanley, Creighton Hale"
1927,American,"Merian Cooper, Ernest B. Schoedsack","Kru, Chantui, Nah, Ladah, Bimbo"
1927,American,Cecil B. DeMille,"Phyllis Haver, Julia Faye"
1927,American,Frank Lloyd,"Clara Bow, Esther Ralston, Gary Cooper"
1927,American,James W. Horne,"Buster Keaton, Anne Cornwall"
1927,American,Walter Lang,"Pauline Garon, Ben Turpin, Robert Agnew"
1927,American,Fred Niblo,"Lillian Gish, Ralph Forbes"
1927,American,Sam Wood,"Marion Davies, Johnny Mack Brown"
1927,American,Roy Del Ruth,"Russell Simpson, Charles Emmett Mack"
1927,American,Frank Capra,"Ben Lyon, Claudette Colbert"
1927,American,W.S. Van Dyke,"Tim McCoy, Claire Windsor"
1927,American,Rex Ingram,"Alice Terry, Ivan Petrovich"
1927,American,Ray Enright,"Conrad Nagel, Myrna Loy"
1927,American,Harry Edwards,"Harry Langdon, Natalie Kingston"
1927,American,Victor Fleming,"Clara Bow, Clive Brook"
1927,American,John G. Adolfi,"Mae Busch, Charles Delaney, Jean Arthur"
1927,American,Clarence G. Badger,Clara Bow and Antonio Moreno
1927,American,Alan Crosland,"Al Jolson, May McAvoy"
1927,American,"Lewis Milestone, J. A. Howe, Ted Wilde",Harold Lloyd
1927,American,Cecil B. DeMille,"H. B. Warner, Dorothy Cumming, Joseph Schildkraut"
1927,American,Malcolm St. Clair,"Richard Dix, Mary Brian"
1927,American,Robert Z. Leonard,"Claire Windsor, William Haines, Harry Carey"
1927,American,Tod Browning,"Lon Chaney, Marceline Day, Conrad Nagel"
1927,American,Frank Capra,Harry Langdon
1927,American,Albert Parker,"Gloria Swanson, John Boles"
1927,American,Sam Taylor,"Mary Pickford, Buddy Rogers"
1927,American,Fatty Arbuckle,"Marion Davies, Owen Moore"
1927,American,Edwin Carewe,"Dolores del Rio, Rod La Rocque"
1927,American,John S. Robertson,"Ramon Novarro, Marceline Day"
1927,American,Sam Wood,"Karl Dane, George K. Arthur, Marceline Day"
1927,American,The Scar of Shame,Harry Henderson and Lucia Lynn Moses
1927,American,Tod Browning,"John Gilbert, Renee Adoree, Lionel Barrymore"
1927,American,Edward Sedgwick,"William Haines, Joan Crawford"
1927,American,Ernst Lubitsch,Ramon Novarro and Norma Shearer
1927,American,F. W. Murnau,George O'Brien and Janet Gaynor
1927,American,Lewis Milestone,"William Boyd, Mary Astor, Louis Wolheim, Ian Keith"
1927,American,Josef von Sternberg,"George Bancroft, Evelyn Brent, Clive Brook"
1927,American,Tod Browning,"Lon Chaney, Joan Crawford"
1927,American,Victor Fleming,"Emil Jannings, Belle Bennett, Phyllis Haver"
1927,American,Alan Crosland,"John Barrymore, Dolores Costello"
1927,American,Fred Guiol,"Stan Laurel, Oliver Hardy"
1927,American,William A. Wellman,"Clara Bow, Charles ""Buddy"" Rogers, Richard Arlen, Jobyna Ralston"
1927,American,Rupert Julian,"William Boyd, Elinor Fair, Junior Coghlan, John Miljan"
1928,American,F.W. Murnau,"Janet Gaynor, Anders Randolf"
1928,American,Victor Fleming,"Charles ""Buddy"" Rogers, Nancy Carroll"
1928,American,William Nigh,"Ramón Novarro, Joan Crawford"
1928,American,"Howard Hawks, Lewis Seiler","Arthur Lake, Sue Carol"
1928,American,Jack Conway,"Lionel Barrymore, William Haines"
1928,American,George Fitzmaurice,"Milton Sills, Dorothy Mackaill"
1928,American,D. W. Griffith,"Jean Hersholt, Phyllis Haver"
1928,American,Roy Del Ruth,"Audrey Ferris, William Collier Jr."
1928,American,"Edward Sedgwick, Buster Keaton","Buster Keaton, Marceline Day"
1928,American,Robert Z. Leonard,"Marion Davies, Nils Asther"
1928,American,Irvin Willat,"Richard Talmadge, Barbara Bedford"
1928,American,Charles Chaplin,Charles Chaplin
1928,American,Archie Mayo,"Myrna Loy, Leila Hyams"
1928,American,King Vidor,"Eleanor Boardman, James Murray"
1928,American,Victor Sjöström,"Greta Garbo, Lars Hanson"
1928,American,Josef von Sternberg,"George Bancroft, Betty Compson, Olga Baclanova"
1928,American,James Tinling,"Lois Moran, Neil Hamilton"
1928,American,Rowland V. Lee,"Florence Vidor, Gary Cooper"
1928,American,Fred Niblo,"Joan Crawford, Nils Asther"
1928,American,Irving Cummings,"Edmund Lowe, Mary Astor"
1928,American,D. W. Griffith,"Mary Philbin, Lionel Barrymore"
1928,American,Harry d'Abbadie d'Arrast,"Mary Astor, Sally Eilers"
1928,American,Gregory La Cava,"Bebe Daniels, Richard Arlen, William Powell"
1928,American,Harry Beaumont,"Ramon Novarro, Renée Adorée"
1928,American,John Ford,"Margaret Mann, James Hall"
1928,American,William Nigh,"John Gilbert, Joan Crawford"
1928,American,Bert Glennon,"Jack Pickford, Olive Borden"
1928,American,Lewis Milestone,"Corinne Griffith, Louise Dresser"
1928,American,John Griffith Wraith,"Dolores del Río, Walter Pidgeon"
1928,American,Howard Hawks,"Victor McLaglen, Robert Armstrong, Louise Brooks"
1928,American,"Alan Crosland, Gordon Hollingshead","Dolores Costello, Conrad Nagel"
1928,American,Cecil B. DeMille,"Lina Basquette, Tom Keene"
1928,American,Gregory La Cava,"Esther Ralston, Gary Cooper"
1928,American,John Ford,"Victor McLaglen, June Collyer"
1928,American,Benjamin Christensen,"Milton Sills, Doris Kenyon"
1928,American,Harry Langdon,"Harry Langdon, Doris Dawson"
1928,American,Robert Z. Leonard,"Norma Shearer, Lowell Sherman"
1928,American,Josef von Sternberg,"Emil Jannings, Evelyn Brent, William Powell"
1928,American,Herbert Brenon,"Lon Chaney, Loretta Young"
1928,American,William Nigh,"Tim McCoy, Joan Crawford, Rex Lease"
1928,American,William A. Wellman,"Fay Wray, Gary Cooper"
1928,American,Bryan Foy,"Helene Costello, Cullen Landis, Eugene Pallette"
1928,American,"George Fitzmaurice, Frank Lloyd","Colleen Moore, Gary Cooper"
1928,American,Lloyd Bacon,"May McAvoy, Lionel Barrymore"
1928,American,Ewald André Dupont,"Mary Philbin, Betty Compson"
1928,American,Harry d'Abbadie d'Arrast,"Florence Vidor, Loretta Young"
1928,American,Paul Leni,"Mary Philbin, Conrad Veidt"
1928,American,Frank Capra,"Bessie Love, Johnnie Walker"
1928,American,James Cruze,"Thomas Meighan, Evelyn Brent"
1928,American,Archie Mayo,"Fanny Brice, Edna Murphy"
1928,American,Fred Niblo,"Greta Garbo, Conrad Nagel"
1928,American,Mervyn LeRoy,"Alice White, Jack Mulhall"
1928,American,Alexander Korda,"Billie Dove, Paul Lukas"
1928,American,Michael Curtiz,"George O'Brien, Alois Reiser"
1928,American,Archie Mayo,"Pauline Frederick, Bert Lytell"
1928,American,Harry Beaumont,"Joan Crawford, Nils Asther"
1928,American,Ernst Lubitsch,"Emil Jannings, Florence Vidor"
1928,American,Raoul Walsh,"Dolores del Río, Charles Farrell"
1928,American,Clarence G. Badger,"Clara Bow, Lane Chandler"
1928,American,Raoul Walsh,"Gloria Swanson, Lionel Barrymore"
1928,American,Frank Capra,"Francis X. Bushman, Helene Chadwick"
1928,American,John G. Blystone,"George O'Brien, Lois Moran"
1928,American,Alfred Santell,"Alice White, Donald Reed"
1928,American,King Vidor,"Marion Davies, William Haines"
1928,American,Victor Schertzinger,"George Bancroft, Evelyn Brent"
1928,American,Lloyd Bacon,"Al Jolson, Betty Bronson"
1928,American,Jack Conway,"William Haines, Jack Holt"
1928,American,Frank Capra,"Shirley Mason, William Collier Jr."
1928,American,Ted Wilde,"Harold Lloyd, Ann Christy"
1928,American,Charles Riesner,"Buster Keaton, Marion Byron"
1928,American,Nat Ross,"Arthur Lake, Barbara Kent"
1928,American,Frank Borzage,"Janet Gaynor, Charles Farrell"
1928,American,Frank Capra,"Jack Holt, Dorothy Revier"
1928,American,Michael Curtiz,"Dolores Costello, Conrad Nagel"
